ERRC3_CODE_24 ;Код №24 – Датчик противозажатия постоянно активирован;Устранимая ошибка №6Неисправность S31/S32/S33 – Кнопка «Вызов для инвалида»
ERRC3_CODE_9   ;Код №9 – Световой барьер постоянно перекрыт;Устранимая ошибка №7Короткое замыкание в канале управления подсветками кнопок
ERRC3_CODE_10 ;Код №10 – Световой барьер не прерывается;Устранимая ошибка №8Неисправность B1 – Датчик бесконтактный оптический
ERRC3_CODE_30 ;Код №30 – Отказ кнопки (кнопок) открытия S21, S22 – кнопка открытия дверной створки снаружи/внутри;Устранимая ошибка №9Неисправность H11, красный канал
ERRC3_CODE_94 ;Код №94 – Сигналы (состояние) не правдоподобны;Устранимая ошибка №10Неисправность H11, зеленый канал
ERRC3_CODE_33 ;Код №33 – Отказ кнопки (кнопок) МГН S31, S32 – кнопка дверной створки МГН снаружи/внутри;Устранимая ошибка №11Неисправность H12, красный канал
ERRC3_CODE_37 ;Код №37 – Отказ сервисной кнопки БУД;Устранимая ошибка №12Неисправность H12, зеленый канал
ERRC3_CODE_42 ;Код №42 – Отказ связи по CAN шине;Устранимая ошибка №13Неисправность H1 – Зуммер
ERRC3_CODE_48 ;Код №48 – Ошибочная кодировка двери положение в вагоне (дверь в вагоне) на разъеме X7 БУД;Устранимая ошибка №14Неисправность S8 – Сервисная кнопка
ERRC3_CODE_49 ;Код №49 – Ошибочная кодировка двери положение в поезде (дверь в поезде) на разъеме X7 БУД;Устранимая ошибка №15Неисправность кнопки ТЕСТ на корпусе блока
ERRC3_CODE_90 ;Код №90 – Состояние входных сигналов различно;Резерв
ERRC3_CODE_91 ;Код №91 – Сигналы от СУВ некорректны;Резерв
ERRC3_CODE_95 ;Код №95 – Сигналы скорости от СУВ некорректны;Резерв
ERRC3_CODE_98 ;Код №98 – Система не обнаруживает полностью открытую позицию двери за заданное время;Резерв
ERRC3_CODE_99 ;Код №99 – Система не обнаруживает полностью закрытую позицию за заданное время;Резерв
